Dénomination,Voies d'admninistration,Autorisation,,
TRIMBOW 172 microgrammes/ 5 microgrammes/ 9 microgrammes,solution pour inhalation,inhalée,,
TRIMBOW 87 microgrammes/5 microgrammes/9 microgrammes,solution pour inhalation,inhalée,,
TRIMBOW 88 microgrammes/5 microgrammes/9 microgrammes,poudre pour inhalation,inhalée,,
TRIMEBUTINE ALMUS 100 mg,comprimé,orale,,
TRIMEBUTINE ALMUS 200 mg,comprimé,orale,,
TRIMEBUTINE ARROW 200 mg,comprimé,orale,,
TRIMEBUTINE ARROW GENERIQUES 100 mg,comprimé,orale,,
TRIMEBUTINE BIOGARAN 100 mg,comprimé,orale,,
TRIMEBUTINE BIOGARAN 200 mg,comprimé,orale,,
TRIMEBUTINE BIOGARAN CONSEIL 100 mg,comprimé,orale,,
TRIMEBUTINE CRISTERS 200 mg,comprimé,orale,,
TRIMEBUTINE EG 100 mg,comprimé,orale,,
TRIMEBUTINE EG 200 mg,comprimé,orale,,
TRIMEBUTINE EVOLUGEN 200 mg,comprimé,orale,,
TRIMEBUTINE MEDISOL 50 mg/5 mL,solution injectable,intramusculaire/intraveineuse,,
TRIMEBUTINE PFIZER 100 mg,comprimé pelliculé,orale,,
TRIMEBUTINE PFIZER 200 mg,comprimé pelliculé,orale,,
TRIMEBUTINE SANDOZ 100 mg,comprimé,orale,,
TRIMEBUTINE SANDOZ 200 mg,comprimé pelliculé,orale,,
TRIMEBUTINE SUBSTIPHARM 200 mg,comprimé,orale,,
TRIMEBUTINE TEVA SANTE 200 mg,comprimé pelliculé,orale,,
TRIMEBUTINE VIATRIS 100 mg,comprimé,orale,,
TRIMEBUTINE VIATRIS 200 mg,comprimé pelliculé,orale,,
TRIMEBUTINE VIATRIS CONSEIL 100 mg,comprimé,orale,,
TRIMEBUTINE ZENTIVA 100 mg,comprimé,orale,,
TRIMEBUTINE ZENTIVA 200 mg,comprimé,orale,,
TRIMEBUTINE ZYDUS 100 mg,comprimé,orale,,
TRIMEBUTINE ZYDUS 200 mg,comprimé,orale,,
TRINARA,comprimé et  comprimé et  comprimé,orale,,
TRINIPATCH 10 mg/24 heures,8 mg / 14 cm²),dispositif,,
TRINIPATCH 15 mg/24 heures,2 mg / 21 cm²),dispositif,,
TRINIPATCH 5 mg/24 heures,4 mg / 7 cm²),dispositif,,
TRINITRINE VIATRIS 10 mg/24 heures,dispositif,transdermique,,
TRINITRINE VIATRIS 5 mg/24 heures,dispositif,transdermique,,
TRINORDIOL,comprimé enrobé et  comprimé enrobé et  comprimé enrobé enrobé,orale,,
TRIPLIXAM 10 mg/2, comprimé pelliculé,comprimé pelliculé,,
TRIPLIXAM 5 mg/1, comprimé pelliculé,comprimé pelliculé,,
TRISEQUENS,comprimé pelliculé et  comprimé pelliculé et  comprimé pelliculé,orale,,
TRITICUM REPENS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
TRIVASTAL© 50 mg L.P.,comprimé enrobé à libération prolongée,orale,,
TRIVERAM 10 mg/5 mg/5 mg,comprimé pelliculé,orale,,
TRIVERAM 20 mg/10 mg/10 mg,comprimé pelliculé,orale,,
TRIVERAM 20 mg/10 mg/5 mg,comprimé pelliculé,orale,,
TRIVERAM 20 mg/5 mg/5 mg,comprimé pelliculé,orale,,
TRIVERAM 40 mg/10 mg/10 mg,comprimé pelliculé,orale,,
TRIXEO AEROSPHERE 5 microgrammes/7, suspension pour inhalation en flacon pressurisé,suspension pour inhalation,,
TROLAMINE BIOGARAN CONSEIL 0, émulsion pour application cutanée,émulsion pour application,,
TROLISE 1 mg,comprimé pelliculé,orale,,
TROLISE 2 mg,comprimé pelliculé,orale,,
TROLISE 4 mg,comprimé pelliculé,orale,,
TROLOVOL 300 mg,comprimé pelliculé,orale,,
TROMBOVAR 1 POUR CENT I.V.,solution injectable,intraveineuse,,
TROMBOVAR 3 POUR CENT I.V.,solution injectable,intraveineuse,,
TRONOTHANE 1 POUR CENT,gel pour application,rectale,,
TROPAEOLUM MAJUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
TROPHICREME 0, crème vaginale,crème,,
TROPHIGIL,gélule,vaginale,,
TROSPIPHARM 20 mg,comprimé pelliculé,orale,,
TROSYD,crème,cutanée,,
TRUE TEST 36, patch(s),cutanée,,
TRULICITY 0, solution injectable en stylo prérempli,solution injectable,,
TRULICITY 1, solution injectable en stylo prérempli,solution injectable,,
TRULICITY 3 mg,solution injectable,sous-cutanée,,
TRULICITY 4, solution injectable en stylo pré-rempli,solution injectable,,
TRUMENBA,suspension injectable,intramusculaire,,
TRUSOPT 20 mg/ml,collyre en solution,ophtalmique,,
TRUVADA 200 mg/245 mg,comprimé pelliculé,orale,,
TRUXIMA 100 mg,solution à diluer pour perfusion,intraveineuse,,
TRUXIMA 500 mg,solution à diluer pour perfusion,intraveineuse,,
TSOLUDOSE 100 microgrammes,solution buvable,orale,,
TSOLUDOSE 112 microgrammes,solution buvable,orale,,
TSOLUDOSE 125 microgrammes,solution buvable,orale,,
TSOLUDOSE 13 microgrammes,solution buvable,orale,,
TSOLUDOSE 137 microgrammes solution buvable en récipient unidose,orale,Autorisation active,,
TSOLUDOSE 150 microgrammes,solution buvable,orale,,
TSOLUDOSE 175 microgrammes,solution buvable,orale,,
TSOLUDOSE 200 microgrammes,solution buvable,orale,,
TSOLUDOSE 25 microgrammes,solution buvable,orale,,
TSOLUDOSE 50 microgrammes,solution buvable,orale,,
TSOLUDOSE 75 microgrammes,solution buvable,orale,,
TSOLUDOSE 88 microgrammes,solution buvable,orale,,
TUBERCULINUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
TUBERCULINUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
TUBERCULINUM RESIDUUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
TUBERTEST, dérivé protéinique purifié de tuberculine,solution injectable,,
TUSSIDANE 1, solution buvable édulcorée au maltitol liquide et à la saccharine sodique,solution buvable,,
TUSSIDANE 30 mg,comprimé pelliculé sécable,orale,,
TUSSILAGO FARFARA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
TUSSIPAX,comprimé pelliculé,orale,,
TUSSISEDAL,sirop,orale,,
TWICOR 10 mg/10 mg,comprimé pelliculé,orale,,
TWICOR 20 mg/10 mg,comprimé pelliculé,orale,,
TWINRIX ADULTE,suspension injectable,intramusculaire/sous-cutanée,,
TWYNSTA 40 mg/10 mg,comprimé,orale,,
TWYNSTA 40 mg/5 mg,comprimé,orale,,
TWYNSTA 80 mg/10 mg,comprimé,orale,,
TWYNSTA 80 mg/5 mg,comprimé,orale,,
TYAVAX, adsorbé) et typhoïdique polyosidique,solution et  suspension pour suspension injectable,,
TYPHIM Vi,solution injectable,intramusculaire/sous-cutanée,,
TYVERB 250 mg,comprimé pelliculé,orale,,
ULCAR 1 g,suspension buvable,orale,,
ULEXITE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ULIPRISTAL ACETATE BIOGARAN 30 mg,comprimé pelliculé,orale,,
ULIPRISTAL ACETATE EXELTIS 30 mg,comprimé pelliculé,orale,,
ULIPRISTAL ACETATE VIATRIS 30 mg,comprimé pelliculé,orale,,
ULTIBRO BREEZHALER 85 microgrammes/43 microgrammes,poudre pour inhalation en gélule,inhalée,,
ULTRA-LEVURE 100 mg,poudre pour suspension buvable,orale,,
ULTRA-LEVURE 200 mg,gélule,orale,,
ULTRA-LEVURE 50 mg,gélule,orale,,
ULTRAPROCT,pommade,rectale,,
ULTRAVIST 300 (300 mg d'Iode/mL),solution injectable,intra-utérine/intraarticulaire/intraartérielle/intraveineuse,,
ULTRAVIST 370 (370 mg d'Iode/mL),solution injectable,intraartérielle/intraveineuse,,
UMULINE NPH 100 UI/mL,suspension injectable,sous-cutanée,,
UMULINE NPH KWIKPEN 100 UI/1 mL,suspension injectable,sous-cutanée,,
UMULINE PROFIL 30 100 UI/mL,suspension injectable,sous-cutanée,,
UMULINE PROFIL 30 KWIKPEN 100 UI/mL,suspension injectable,sous-cutanée,,
UMULINE RAPIDE 100 UI/1 mL,solution injectable,intramusculaire/intraveineuse/sous-cutanée,,
UMULINE RAPIDE 100 UI/mL,solution injectable,sous-cutanée,,
UN ALFA 0, capsule orale,capsule,,
UN ALFA 1 microgramme,capsule,orale,,
UN-ALFA 0, solution buvable en gouttes,solution buvable gouttes,,
UN-ALFA 1 microgramme/0, solution injectable IV en ampoule,solution injectable,,
UN-ALFA 2 microgrammes/1 ml,solution injectable,intraveineuse,,
UNACIM INJECTABLE 0, poudre pour usage parentéral,poudre pour usage parentéral,,
UNIFLOX,comprimé pelliculé sécable,orale,,
UNIPEXIL 2 POUR CENT,solution pour application,cutanée,,
UNIPEXIL 5 %,solution pour application,cutanée,,
UNIVAGIL LP 150 mg,ovule à libération prolongée,vaginale,,
URANIUM NITRICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
URAPIDIL STRAGEN 100 mg/20 ml,solution injectable,intraveineuse,,
URAPIDIL STRAGEN 25 mg/5 ml,solution injectable,intraveineuse,,
URAPIDIL STRAGEN 50 mg/10 ml,solution injectable,intraveineuse,,
URAPIDIL STRAGEN LP 30 mg,gélule à libération prolongée,orale,,
URAPIDIL STRAGEN LP 60 mg,gélule à libération prolongée,orale,,
URAPIDIL VIATRIS 100 mg/20 ml,solution injectable,intraveineuse,,
URAPIDIL VIATRIS 25 mg/5 ml,solution injectable,intraveineuse,,
URAPIDIL VIATRIS 50 mg/10 ml,solution injectable,intraveineuse,,
URARTHONE,solution buvable,orale,,
URBANYL 10 mg,comprimé sécable,orale,,
URBANYL 20 mg,comprimé,orale,,
URBANYL 5 mg,gélule,orale,,
UREE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
URICUM ACIDUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
URICUM ACIDUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
URISPAS 200 mg,comprimé pelliculé,orale,,
UROMITEXAN 1 g/10 mL,solution injectable,intraveineuse,,
UROMITEXAN 400 mg,comprimé pelliculé sécable,orale,,
UROMITEXAN 400 mg/4 mL,solution injectable,intraveineuse,,
UROMITEXAN 5 g/50 mL,solution injectable,intraveineuse,,
UROREC 4 mg,gélule,orale,,
UROREC 8 mg,gélule,orale,,
URSOLVAN 200 mg,gélule,orale,,
URTICA DIOICA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
URTICA DIOICA WELEDA, crème et solution et granules et poudre,cutanée/orale/sublinguale,,
URTICA URENS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
URTICA URENS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
URTICA URENS WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
USNEA BARBATA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
UTERINE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
UTROGESTAN 100 mg,capsule molle ou,orale/vaginale,,
UTROGESTAN 200 mg,capsule molle ou,orale/vaginale,,
UVA URSI BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
UVA URSI COMPLEXE N°9,solution buvable en gouttes,sublinguale,,
UVA URSI LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
UVEDOSE 100 000 UI,solution buvable,orale,,
UVEDOSE 50 000 UI,capsule molle,orale,,
UVIMAG B6,solution buvable,orale,,
V.A.B LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
V.A.B. BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VABLYS 10 mg,comprimé,vaginale,,
VACCIN BCG AJVaccines,poudre et  solvant pour suspension injectable,intradermique,,
VACCIN RABIQUE PASTEUR, inactivé,poudre et  solvant pour suspension injectable,,
VACCINOTOXINUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VALACICLOVIR ALMUS 500 mg,comprimé pelliculé sécable,orale,,
VALACICLOVIR ALTER 500 mg,comprimé pelliculé,orale,,
VALACICLOVIR ARROW 500 mg,comprimé pelliculé sécable,orale,,
VALACICLOVIR BIOGARAN 500 mg,comprimé pelliculé,orale,,
VALACICLOVIR BLUEFISH 500 mg,comprimé pelliculé,orale,,
VALACICLOVIR CRISTERS PHARMA 500 mg,comprimé pelliculé sécable,orale,,
VALACICLOVIR EG 500 mg,comprimé pelliculé,orale,,
VALACICLOVIR EVOLUGEN 500 mg,comprimé pelliculé,orale,,
VALACICLOVIR MYLAN 500 mg,comprimé pelliculé,orale,,
VALACICLOVIR SANDOZ 500 mg,comprimé pelliculé,orale,,
VALACICLOVIR TEVA 500 mg,comprimé pelliculé sécable,orale,,
VALACICLOVIR VIATRIS 500 mg,comprimé pelliculé,orale,,
VALACICLOVIR ZENTIVA 500 mg,comprimé pelliculé,orale,,
VALACICLOVIR ZYDUS 500 mg,comprimé pelliculé,orale,,
VALDOXAN 25 mg,comprimé pelliculé,orale,,
VALERIANA OFFICINALIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VALERIANA OFFICINALIS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VALERIANA OFFICINALIS WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
VALGANCICLOVIR ACCORD 450 mg,comprimé pelliculé,orale,,
VALGANCICLOVIR ARROW 450 mg,comprimé pelliculé,orale,,
VALGANCICLOVIR BIOGARAN 450 mg,comprimé pelliculé,orale,,
VALGANCICLOVIR CRISTERS 450 mg,comprimé pelliculé,orale,,
VALGANCICLOVIR EG 450 mg,comprimé pelliculé,orale,,
VALGANCICLOVIR MYLAN 450 mg,comprimé pelliculé,orale,,
VALGANCICLOVIR SANDOZ 450 mg,comprimé pelliculé,orale,,
VALGANCICLOVIR TEVA 450 mg,comprimé pelliculé,orale,,
VALGANCICLOVIR ZENTIVA 450 mg,comprimé pelliculé,orale,,
VALIUM 1 POUR CENT,solution buvable en gouttes,orale,,
VALIUM 10 mg,comprimé sécable,orale,,
VALIUM 10 mg/2 ml,solution injectable,intramusculaire/intraveineuse/rectale,,
VALSARTAN / HYDROCHLOROTHIAZIDE SANDOZ 160 mg/ 12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN ARROW LAB 160 mg,comprimé pelliculé sécable,orale,,
VALSARTAN ARROW LAB 40 mg,comprimé pelliculé sécable,orale,,
VALSARTAN ARROW LAB 80 mg,comprimé pelliculé sécable,orale,,
VALSARTAN BIOGARAN 160 mg,comprimé pelliculé sécable,orale,,
VALSARTAN BIOGARAN 40 mg,comprimé pelliculé sécable,orale,,
VALSARTAN BIOGARAN 80 mg,comprimé pelliculé sécable,orale,,
VALSARTAN CRISTERS 160 mg,comprimé pelliculé sécable,orale,,
VALSARTAN CRISTERS 40 mg,comprimé pelliculé sécable,orale,,
VALSARTAN CRISTERS 80 mg,comprimé pelliculé sécable,orale,,
VALSARTAN EG 160 mg,comprimé pelliculé sécable,orale,,
VALSARTAN EG 40 mg,comprimé pelliculé sécable,orale,,
VALSARTAN EG 80 mg,comprimé pelliculé sécable,orale,,
VALSARTAN EVOLUGEN 160 mg,comprimé pelliculé sécable,orale,,
VALSARTAN EVOLUGEN 40 mg,comprimé pelliculé sécable,orale,,
VALSARTAN EVOLUGEN 80 mg,comprimé pelliculé sécable,orale,,
VALSARTAN HYDROCHLOROTHIAZIDE BIOGARAN 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN HYDROCHLOROTHIAZIDE BIOGARAN 160 mg/25 mg,comprimé pelliculé,orale,,
VALSARTAN HYDROCHLOROTHIAZIDE BIOGARAN 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN HYDROCHLOROTHIAZIDE EVOLUGEN 160 mg/25 mg,comprimé pelliculé,orale,,
VALSARTAN HYDROCHLOROTHIAZIDE ZENTIVA LAB 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN HYDROCHLOROTHIAZIDE ZENTIVA LAB 160 mg/25 mg,comprimé pelliculé,orale,,
VALSARTAN HYDROCHLOROTHIAZIDE ZENTIVA LAB 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN HYDROCHLOROTHIAZIDE ZYDUS 160 mg/25 mg,comprimé pelliculé,orale,,
VALSARTAN HYDROCHLOROTHIAZIDE ZYDUS 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN KRKA 40 mg,comprimé pelliculé sécable,orale,,
VALSARTAN KRKA 80 mg,comprimé pelliculé sécable,orale,,
VALSARTAN SANDOZ 160 mg,comprimé pelliculé,orale,,
VALSARTAN SANDOZ 40 mg,comprimé pelliculé sécable,orale,,
VALSARTAN SANDOZ 80 mg,comprimé pelliculé,orale,,
VALSARTAN TEVA 160 mg,comprimé pelliculé sécable,orale,,
VALSARTAN TEVA 40 mg,comprimé pelliculé sécable,orale,,
VALSARTAN TEVA 80 mg,comprimé pelliculé sécable,orale,,
VALSARTAN VIATRIS 160 mg,comprimé pelliculé sécable,orale,,
VALSARTAN VIATRIS 40 mg,comprimé pelliculé sécable,orale,,
VALSARTAN VIATRIS 80 mg,comprimé pelliculé sécable,orale,,
VALSARTAN ZENTIVA 160 mg,comprimé pelliculé sécable,orale,,
VALSARTAN ZENTIVA 40 mg,comprimé pelliculé sécable,orale,,
VALSARTAN ZENTIVA 80 mg,comprimé pelliculé sécable,orale,,
VALSARTAN ZYDUS 160 mg,comprimé pelliculé,orale,,
VALSARTAN ZYDUS 40 mg,comprimé pelliculé sécable,orale,,
VALSARTAN ZYDUS 80 mg,comprimé pelliculé,orale,,
VALSARTAN/HYDROCHLOROTHIAZIDE ARROW GENERIQUES 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE ARROW GENERIQUES 160 mg/25 mg,comprimé pelliculé,orale,,
VALSARTAN/HYDROCHLOROTHIAZIDE ARROW GENERIQUES 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 mg/25 mg,comprimé pelliculé,orale,,
VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE EG 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE EG 160 mg/25 mg,comprimé pelliculé,orale,,
VALSARTAN/HYDROCHLOROTHIAZIDE EG 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE KRKA 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE RANBAXY 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE SANDOZ 160 mg/25 mg,comprimé pelliculé,orale,,
VALSARTAN/HYDROCHLOROTHIAZIDE SANDOZ 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE TEVA 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE VIATRIS 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE VIATRIS 160 mg/25 mg,comprimé pelliculé,orale,,
VALSARTAN/HYDROCHLOROTHIAZIDE VIATRIS 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE ZYDUS FRANCE 160 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTHIAZIDE ZYDUS FRANCE 160 mg/25 mg,comprimé pelliculé,orale,,
VALSARTAN/HYDROCHLOROTHIAZIDE ZYDUS FRANCE 80 mg/12, comprimé pelliculé,comprimé pelliculé,,
VALSARTAN/HYDROCHLOROTIAZIDE TEVA 160 mg/25 mg,comprimé pelliculé,orale,,
VALSARTAN/HYDROCHLOROTIAZIDE TEVA 80 mg/ 12, comprimé pelliculé,comprimé pelliculé,,
VAMINOLACT,solution pour perfusion,intraveineuse,,
VANADIUM METALLICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VANIQA 11, crème,crème,,
VAQTA 50 U/1 ml, inactivé, adsorbé. Pour adultes,,
VARDENAFIL ACCORD 10 mg,comprimé pelliculé,orale,,
VARDENAFIL ACCORD 20 mg,comprimé pelliculé,orale,,
VARDENAFIL ACCORD 5 mg,comprimé pelliculé,orale,,
VARDENAFIL BIOGARAN 10 mg,comprimé pelliculé,orale,,
VARDENAFIL BIOGARAN 20 mg,comprimé pelliculé,orale,,
VARDENAFIL BIOGARAN 5 mg,comprimé pelliculé,orale,,
VARDENAFIL KRKA 10 mg,comprimé pelliculé,orale,,
VARDENAFIL KRKA 20 mg,comprimé pelliculé,orale,,
VARDENAFIL MYLAN 10 mg,comprimé pelliculé,orale,,
VARDENAFIL MYLAN 20 mg,comprimé pelliculé,orale,,
VARDENAFIL MYLAN 5 mg,comprimé pelliculé,orale,,
VARDENAFIL SANDOZ 10 mg,comprimé pelliculé,orale,,
VARDENAFIL SANDOZ 20 mg,comprimé pelliculé,orale,,
VARDENAFIL SANDOZ 5 mg,comprimé pelliculé,orale,,
VARESOL,granules,sublinguale,,
VARILRIX,poudre et  solvant pour solution injectable,sous-cutanée,,
VARIVAX,poudre et  solvant pour suspension injectable,intramusculaire/sous-cutanée,,
VARNOLINE CONTINU,comprimé pelliculé et  comprimé pelliculé pelliculé,orale,,
VARNOLINE,comprimé,orale,,
VASELINE GOMENOLEE 5 POUR CENT,pommade,nasale,,
VASELINE OFFICINALE COOPER,pommade,cutanée,,
VASELINE STERILISEE COOPER,pommade,cutanée,,
VASTEN 10 mg,comprimé sécable,orale,,
VASTEN 20 mg,comprimé sécable,orale,,
VASTEN 40 mg,comprimé,orale,,
VAXELIS, tétanique, coquelucheux (acellulaire,,
VAXIGRIPTETRA, à virion fragmenté),suspension injectable,,
VAXZEVRIA,suspension injectable,intramusculaire,,
VEGETOSERUM ADULTES,sirop,orale,,
VEINAMITOL 3500 mg,poudre pour solution buvable,orale,,
VEINAMITOL 3500 mg/7 ml,solution buvable à diluer,orale,,
VEINE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VEINE WELEDA, crème et solution et granules et poudre et pommade,cutanée/orale/sublinguale,,
VELBE 10 mg,poudre pour solution injectable,intraveineuse,,
VELCADE 1 mg,poudre pour solution injectable,intraveineuse,,
VELCADE 3, poudre pour solution injectable,poudre pour solution injectable,,
VELITEN,comprimé pelliculé,orale,,
VELMETIA 50 mg/1000 mg,comprimé pelliculé,orale,,
VELPHORO 500 mg,comprimé à croquer,orale,,
VENACLAR 600 mg,comprimé pelliculé,orale,,
VENCLYXTO 10 mg,comprimé pelliculé,orale,,
VENCLYXTO 100 mg,comprimé pelliculé,orale,,
VENCLYXTO 50 mg,comprimé pelliculé,orale,,
VENLAFAXINE ALMUS LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE ALMUS LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE ALTER LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE ALTER LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE ARROW GENERIQUES LP 150 mg,gélule à libération prolongée,orale,,
VENLAFAXINE ARROW GENERIQUES LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE ARROW GENERIQUES LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE ARROW LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE ARROW LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE BIOGARAN LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE BIOGARAN LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE BIPHAR 150 mg,comprimé à libération prolongée,orale,,
VENLAFAXINE BIPHAR 225 mg,comprimé à libération prolongée,orale,,
VENLAFAXINE BLUEFISH LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE BLUEFISH LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE CRISTERS LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE CRISTERS LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE EG LABO LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE EG LABO LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE EVOLUGEN PHARMA LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE EVOLUGEN PHARMA LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE KRKA L.P. 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE KRKA L.P. 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE PFIZER L.P. 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE SANDOZ LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE SANDOZ LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE SUN LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE SUN LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE TEVA SANTE L.P. 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE TEVA SANTE L.P. 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE VIATRIS 50 mg,comprimé pelliculé,orale,,
VENLAFAXINE VIATRIS LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE VIATRIS LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE ZENTIVA LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE ZENTIVA LP 75 mg,gélule à libération prolongée,orale,,
VENLAFAXINE ZYDUS FRANCE LP 37, gélule à libération prolongée,gélule à libération prolongée,,
VENLAFAXINE ZYDUS FRANCE LP 75 mg,gélule à libération prolongée,orale,,
VENTILASTIN NOVOLIZER 100 microgrammes/dose,poudre pour inhalation,inhalée,,
VENTOLINE 0, solution injectable par voie sous-cutanée en ampoule,solution injectable,,
VENTOLINE 100 microgrammes/dose,suspension pour inhalation,inhalée,,
VERAPAMIL BIOGARAN L.P. 240 mg,gélule à libération prolongée,orale,,
VERAPAMIL EG L.P. 240 mg,comprimé pelliculé sécable à libération prolongée,orale,,
VERAPAMIL SANDOZ 120 mg,comprimé pelliculé,orale,,
VERAPAMIL TEVA 120 mg,comprimé pelliculé,orale,,
VERAPAMIL TEVA 40 mg,comprimé pelliculé,orale,,
